user_id,seq_d1,seq_d2,domain_id
45972,[],"[14621, 16656]",1
6168,"[150, 24299, 9415, 9292, 18137, 12615, 22710]","[11797, 11258, 735, 21429, 20300, 17107, 8040]",0
8502,"[11603, 18857, 8294, 17055, 18490, 22365, 17463, 7448, 14000, 1659, 23977, 11561, 20247, 12450]","[13581, 13820, 22365, 4184, 19360, 21889, 10836, 20247]",1
46871,[],"[16258, 22184, 5063, 20473]",1
11053,"[20040, 13285, 23614, 14132, 4486, 18855]",[],0
195,"[13675, 15909, 9796, 20681, 17656, 4534]",[],0
32429,[],"[4100, 2071, 10341, 12961]",1
4801,"[2890, 7297, 21010, 16864, 9901, 16801]","[2585, 7297, 16608, 19911, 16801, 23033]",0
44888,[],"[1483, 12506]",1
27346,"[7190, 22472]",[],0
18443,"[6683, 5884, 20848, 10711]","[10482, 11507, 19759, 4509, 20848]",1
16923,"[24488, 304, 3950, 8607, 21549, 23132]",[],0
36231,[],"[818, 1802, 20548, 23427, 4262, 12535, 21529, 7701, 21547, 19268, 1307, 5598, 2329]",1
34514,[],"[12141, 20036, 13074, 22296, 21568]",1
40215,[],"[22133, 18225, 12908]",1
4843,"[2554, 1297, 15217, 20119, 7415, 23910, 16318, 7215, 10640, 16840, 3669, 3827, 3591, 351, 19522, 8535, 485, 20942, 4895]","[7415, 16318]",0
24652,"[4088, 22273, 3721, 21670]",[],0
1779,"[2339, 14118, 8535, 15290, 16871]","[23650, 4408, 2900, 2715, 5231, 16327, 23210, 16995]",0
12803,"[4749, 3215]","[14741, 10455, 13498, 1893, 4371, 20075]",1
15441,"[24083, 24343, 20673, 14527, 8514, 4914, 10852]",[],0
1535,"[10268, 20298, 20466]",[],0
39103,[],"[14188, 10482, 20511, 18468, 12025, 13851, 15161, 569, 8432, 18835, 3852]",1
11808,"[22953, 20074, 20819, 3102, 24144, 20048, 19765, 3322, 6585]","[19375, 8661, 14370, 12429, 9112, 10437, 919, 23983, 22276, 14893, 4300, 20512, 21540, 20932, 17529, 8391, 18528, 12382, 7193, 20769, 17753, 6475, 4403, 15426, 14616, 22608, 1949, 3170, 21094, 12084, 7702, 742, 7976, 4990, 3000, 24079, 132, 12355, 6477, 18587, 8577, 5615, 8676, 16069, 17104, 2019, 7214, 7022, 13067, 13867, 15109, 24178, 14886, 10068, 1225, 18340, 17575, 11131, 10713, 3479, 3322]",0
17560,"[14751, 19303]",[],0
45079,[],"[10180, 473, 8570]",1
43430,[],"[15735, 12326, 10080, 10255, 8717, 12212, 16797]",1
4023,"[23307, 3515, 16864, 23188, 13298, 10797]","[1194, 3515, 9635, 8533, 13298, 24069, 17701]",1
18051,"[5571, 17749, 1156, 13787]",[],0
3098,"[24027, 10213, 7525, 14761, 15228, 7005, 13280, 19385, 12210, 5179, 21425, 15436, 11007, 23070, 16866, 4887, 6189, 6936]","[10213, 13280, 16866, 4887]",0
21607,"[9584, 21174, 11149, 8467, 9890]",[],0
7231,"[18581, 12672, 7413, 3927]","[811, 16413, 3927, 13002]",1
37179,[],"[4099, 20042, 17222, 19043, 23415]",1
28781,"[8454, 18999, 12953, 7361, 5797]",[],0
9784,"[10217, 22546, 24032, 17729, 20060]",[],0
2158,"[1285, 6649, 17892, 13412, 3045, 18183, 12103]","[23723, 10443, 5970, 6253, 19488, 1872, 5400, 23337, 9991, 15093, 3045, 4608, 21653, 10773, 20763, 21843, 16069, 20272, 20570, 23963, 9169, 23164, 19237, 2380, 5267, 13896, 3576]",1
15057,"[19808, 18519, 1367, 5619, 16481, 22751]","[3017, 18519, 22784, 1367]",0
9119,"[16777, 18149, 1668, 10016]","[1499, 13968, 12852, 12961, 8447]",1
37605,[],"[15362, 6534, 21114, 9626, 11588, 18444, 16197]",1
25463,"[23842, 24385, 19701, 23716]",[],0
30476,"[1798, 4927]",[],0
6485,"[12764, 3155, 579, 18626, 16098]","[24149, 12764, 3155, 10414, 14488, 2030, 10216, 579, 117, 13646]",0
18676,"[3427, 201, 2783, 4323, 23143]","[2783, 23143]",1
20491,"[19076, 17172]","[9416, 8709, 18441, 13053, 23262, 23473, 100, 7322, 17229, 18942]",1
24221,"[15920, 17519, 11483, 8217]",[],0
32708,[],"[1079, 3110, 23723, 8953, 2201, 13496, 12576, 7475]",1
36674,[],"[2814, 21377, 4694, 13245, 8407, 19749]",1
11505,"[21068, 19280, 11075, 3427]",[],0
5391,"[6626, 9804, 758, 1554]",[],0
19854,"[11218, 10920, 717, 4114, 560]","[11218, 10920]",1
24156,"[15565, 11803, 13732]",[],0
45194,[],"[5635, 9018, 17376, 153]",1
19786,"[6628, 11111]",[],0
42672,[],"[17086, 3018, 16010, 2682, 526, 16368]",1
22045,"[3636, 1300]",[],0
26690,"[5474, 10861]",[],0
39266,[],"[188, 10205, 1051]",1
22424,"[22621, 7791, 4739, 24468, 16786]","[19474, 19354, 9846, 15264, 9458, 23313]",1
4680,"[6240, 7201, 23080]","[4403, 413, 23673]",0
39888,[],"[7724, 11179, 8407, 16560, 19644, 16795, 10201, 18974]",1
1179,"[18033, 22831, 22843, 22802, 24143, 23464]","[8721, 20421, 13508, 22802, 7638, 6006]",1
8260,"[15168, 87]","[3355, 4845, 17745, 8033]",0
5553,"[21783, 617, 17679, 2088, 5350]",[],0
2591,"[251, 3155, 7145, 22668, 5030, 13099, 3740, 6958, 16799, 2217, 14470]","[3155, 5030, 13099]",0
20565,"[23911, 16137, 16150, 22776]",[],0
41447,[],"[15555, 16650, 7890, 479, 5867, 5812, 8, 3969]",1
4152,"[21033, 6956, 22330, 6142, 23304, 24276, 16937]","[22563, 12837, 2472, 17624, 3725, 22399, 12574, 17173, 19027, 13613, 8910, 15040, 13150, 23677, 14374, 4744]",0
43507,[],"[14209, 2791, 1415, 10195, 19351, 18914]",1
3241,"[89, 16402, 18829, 11462, 19119]","[937, 24481, 21574]",0
4284,"[9362, 22191, 24478]",[],0
9251,"[13866, 5607, 16225]",[],0
45586,[],"[1543, 4801, 19024, 220, 10729, 22548, 1574]",1
1259,"[18033, 15955, 2406, 1909, 4160, 8560, 20973, 19336, 16499, 13495]","[24186, 2406, 4799]",1
45532,[],"[21653, 2192, 13424, 1409, 7090]",1
1053,"[18458, 10297, 11682, 11699, 23746, 21288, 10119]","[13299, 12749, 18225, 2719, 5062, 23955]",1
24141,"[13935, 610]",[],0
13405,"[20010, 8772, 4483, 21538]","[13225, 22575, 21207, 20010, 17380, 161, 9469, 8061, 12245, 11245, 8910, 15433, 10588, 8131, 13208, 18970, 18579]",0
8180,"[12109, 17033, 8976, 7992]","[24318, 8700, 17709, 14190, 23122]",1
42670,[],"[17086, 14577, 7687, 1984, 14945, 13124]",1
14587,"[19418, 17438, 1247, 11637, 12135, 23816, 21414]",[],0
23425,"[16580, 10062, 11839, 21481, 11922, 19497]","[12082, 11169, 6919]",1
6250,"[7651, 22796, 8485, 9278, 6599, 23684]","[16359, 8485, 16414]",1
13523,"[1486, 19544, 4882]",[],0
44417,[],"[16869, 2278, 12379, 23508, 14080, 18483]",1
21899,"[10538, 11427, 4304, 15926, 12027, 14860, 21961]",[],0
42471,[],"[16654, 3216]",1
37826,[],"[6883, 18722, 21245, 9705, 3402, 15007, 11139]",1
26178,"[18035, 1144, 20060]",[],0
7854,"[19022, 7931, 22767, 6852]",[],0
21425,"[15254, 1394, 18445, 17546, 12136]","[23813, 784]",0
19635,"[2924, 16866, 12803, 17123, 16828]","[16436, 2924, 2179, 16866, 6773, 16828]",1
40105,[],"[12938, 12701, 3924, 992, 21192]",1
45564,[],"[20788, 6185, 1877]",1
21172,"[17610, 4598]",[],0
39934,[],"[10506, 15991, 18154, 2002, 15223, 22613, 2020]",1
336,"[16941, 1305, 21703, 13730, 13979]",[],0
10182,"[0, 6250, 6581, 12376, 21620, 10886, 1393, 22356, 13900, 13405]","[3645, 8049, 16818, 2233, 12742, 17951, 1286, 3753, 23879, 18296, 20135, 17597, 3402, 6919, 117, 21126, 14137, 19801]",1
