user_id,seq_d1,seq_d2,domain_id
11056,"[4550, 5741, 8905, 11369, 11500]",[],0
12521,"[7853, 8521, 10029, 10557, 10808]",[],0
24365,[],"[27480, 28203, 28337, 28473, 28699, 28707, 28787]",1
7813,"[1833, 7671, 8183, 9603, 10209]",[],0
2841,"[386, 722, 2273, 2581, 2680, 6185, 6237, 6841, 6946, 8219, 10005, 10049, 10675, 11275]",[],0
14244,[],"[12614, 13439, 13750, 16273, 22599]",1
7166,"[1559, 2982, 6119, 8526, 10453, 10945]",[],0
8074,"[1944, 5617, 10862, 11138, 11219, 11796]",[],0
113,"[14, 157, 1280, 4454, 7487, 8198, 10436, 11869, 11913]","[16459, 19146, 22317, 23662, 24736, 24760, 25257, 25948, 26514, 28623]",1
22962,[],"[22973, 24085, 27390, 28862, 29615]",1
22278,[],"[21548, 22192, 23644, 24197, 25303]",1
6398,"[1230, 1806, 3210, 4865, 7443]",[],0
3022,"[428, 498, 971, 1825, 1894, 2032, 2379, 2479, 3481, 10618]",[],0
15432,[],"[13750, 13780, 13944, 13954, 14062, 14150, 14222, 14256, 14298, 14314, 14352, 14410, 14434, 14450, 14452, 14454, 14566, 14650, 14660, 14722, 14790]",1
3959,"[604, 3081, 3564, 4740, 5614, 5656, 6400, 6611, 6717, 8827, 11716, 11916, 11917, 11933]","[20140, 20500, 20594, 21480, 21814, 22443, 22625, 24827, 26235, 26387, 26891, 28910, 29462]",1
14948,[],"[13233, 15898, 18359, 18479, 22122]",1
17975,[],"[16557, 25057, 25395, 25587, 26044, 27460, 29289]",1
16159,[],"[14384, 16717, 17157, 17319, 17343, 17465, 17915, 17985, 18041, 18483]",1
23438,[],"[23630, 23706, 24546, 24794, 25473]",1
5879,"[1068, 1072, 1073, 1869, 2825, 5438]",[],0
17323,[],"[15566, 20000, 20354, 20584, 21152, 21296, 21818, 21868, 22022, 23276, 24734, 26143]",1
3419,"[498, 2550, 3900, 5158, 5252, 5553]",[],0
265,"[23, 3167, 7612, 10510, 11362, 11901]",[],0
19488,[],"[18417, 21098, 22653, 24843, 27163]",1
14292,[],"[12648, 12664, 13031, 13169, 14220, 15502, 16493, 17179, 18457, 19688, 20194, 20404, 21876, 22675, 23296, 23580, 24863, 25593, 25836, 26548, 26570, 26915, 27213, 27259, 27748]",1
22025,[],"[21154, 23180, 23186, 24488, 24774, 25259, 27684]",1
24199,[],"[26147, 28862, 28864, 29621, 29655]",1
20015,[],"[18704, 20600, 20778, 23500, 23638, 23672, 24171, 25836]",1
13426,[],"[12368, 15566, 15720, 17041, 17695, 18656, 20330, 21846, 22371, 23015]",1
4777,"[770, 1383, 3082, 4872, 6632, 8915, 11388, 11819]",[],0
15130,[],"[13481, 14384, 15154, 15924, 15999, 16539, 16697]",1
16196,[],"[14384, 14674, 16357, 16517, 16625]",1
71,"[10, 2746, 3752, 4740, 5073, 5735, 5970, 7274, 7522, 7674, 7823, 8828, 9659, 9863, 10400, 10701, 10749, 10984, 11198, 11243, 11431, 11513, 11637, 11930, 12080, 12171, 12270]","[18575, 21154, 21162, 21228, 21390, 21544, 21562, 21818, 22317, 22379, 23500, 26141, 27171, 27446, 27484, 27953, 28067, 28377, 28975, 29201]",0
22526,[],"[22112, 26423, 26427, 26735, 27035, 27390, 27444, 27474, 27628, 28977]",1
12113,"[6614, 6968, 9859, 9860, 9861]",[],0
5423,"[934, 4150, 7793, 9588, 9590]",[],0
3143,"[452, 2940, 3084, 7045, 7228]",[],0
9721,"[3001, 3006, 3007, 4135, 7956, 8342, 11351]",[],0
12383,"[7482, 10293, 10871, 11139, 12015, 12016, 12286]",[],0
9003,"[2426, 5106, 5381, 5521, 6935, 8803]",[],0
19071,[],"[18033, 19716, 20384, 20718, 23975]",1
9936,"[3184, 4000, 4089, 4474, 4559, 4724, 5929, 6329, 8446]",[],0
2004,"[289, 954, 1501, 2026, 2550, 2551, 7931, 11458]",[],0
19899,[],"[18598, 19764, 20224, 20642, 20780, 23075]",1
16140,[],"[14384, 15692, 17985, 18594, 18598, 18816, 18992, 19088, 19350, 19956]",1
4551,"[734, 1994, 3004, 3373, 4217, 8285]",[],0
20514,[],"[19310, 21500, 21814, 22655, 23438, 24584, 24692, 25473, 25515]",1
23364,[],"[23560, 24029, 24470, 25762, 25992, 26542]",1
16897,[],"[15004, 16541, 17439, 17445, 17973, 18033, 19066, 19588, 20986, 21746]",1
17371,[],"[15662, 18539, 20952, 24768, 27522, 27704]",1
13601,[],"[12424, 14230, 16361, 18704, 19220, 19484, 23460, 25693]",1
18042,[],"[16687, 20940, 20952, 21888, 22206, 22555, 23110, 23554, 23560, 24550, 24744, 25683, 25739, 26107]",1
21304,[],"[20352, 24524, 24576, 24943, 24945, 25551, 28343]",1
7975,"[1900, 3310, 3409, 4275, 8838]",[],0
10698,"[4061, 5038, 7826, 7872, 8385, 9059]",[],0
23056,[],"[23108, 25663, 25762, 26205, 26566, 26588]",1
15745,[],"[14052, 14120, 15176, 15760, 15971]",1
3245,"[473, 1822, 2065, 2162, 2603, 4093, 4375, 4451, 4496, 6178, 6222, 7105]","[18027, 18423, 28165, 28299, 28864, 28869, 28946, 29269, 29309, 29400]",1
21902,[],"[21056, 21392, 23500, 23596, 25397, 25495, 26141, 27171, 27839]",1
11234,"[4832, 9513, 9716, 9947, 11100, 11740]",[],0
10450,"[3756, 7522, 9358, 9671, 10408, 10409, 10977, 11011, 11105, 11455, 11516, 11789, 11882]","[16537, 17663, 19922, 20634, 22525, 24381, 24478, 26115, 28884, 29082]",1
10034,"[3284, 4639, 4731, 9085, 9858, 10185]","[20780, 21998, 24913, 26325, 27720]",0
3073,"[435, 935, 2026, 6203, 7662]",[],0
17064,[],"[15178, 18600, 20194, 24586, 24622, 26123, 26337]",1
18199,[],"[16973, 17539, 17707, 20500, 26915]",1
19138,[],"[18069, 20224, 20286, 22675, 22945, 23033, 23108, 26963, 27793, 28064]",1
11725,"[5685, 6763, 8526, 9191, 11514]",[],0
5299,"[898, 2086, 2290, 2754, 2955, 3080, 4696, 9049]",[],0
1611,"[235, 639, 742, 2848, 3159, 3280, 3281, 3858, 4439, 4754, 4918, 4922, 4964, 7953, 8237, 8470, 9255, 9761, 11260, 11392]",[],0
15738,[],"[14048, 15352, 16307, 16667, 18161, 22841]",1
10879,"[4285, 5005, 5702, 7931, 7932, 8758, 9790]",[],0
6109,"[1146, 4100, 4443, 4900, 9351]",[],0
4314,"[666, 988, 1045, 2579, 2756, 3048, 3211, 4497, 5100, 5129]",[],0
13969,[],"[12504, 12648, 13574, 14514, 15494, 15566, 15756, 15953, 15957, 16067, 16101, 16259]",1
22191,[],"[21318, 21678, 24321, 24373, 25729]",1
10699,"[4063, 5075, 5425, 6972, 7090, 7632, 7805, 8812, 9049, 10976, 11813, 11916, 11918, 12069]","[15965, 17373, 17379, 17823, 18175, 18407, 18580, 18602, 19354, 19390, 19558, 20016, 21244, 21378, 21750, 21800, 21962, 23061, 23200, 23464, 23478, 23494, 24953, 25047, 25145, 25910, 25996, 26291, 26379, 27538, 28852, 29213, 29219, 29225, 29452]",1
2859,"[390, 1472, 2836, 2994, 5469]",[],0
1974,"[288, 2662, 3095, 7850, 9727, 10778]",[],0
16917,[],"[15018, 16113, 16599, 17157, 17455, 17885, 17949, 18153, 18600, 19046, 19234, 20288, 20348, 20454, 24987]",1
17831,[],"[16365, 18245, 20962, 21662, 22657, 23957, 24277, 25373]",1
20506,[],"[19306, 23065, 25834, 26459, 27879, 29223]",1
10961,"[4408, 4409, 4681, 4699, 5512, 7882]",[],0
23697,[],"[24033, 24726, 25027, 25145, 25279, 25832]",1
3374,"[491, 492, 822, 893, 943, 1048, 1787, 2887, 3912, 4793, 4968, 5226, 8470, 9665, 11275, 11351]","[16539, 16911, 17305, 17931, 20376, 23682, 23849, 26155, 27221]",1
14085,[],"[12556, 16031, 16509, 16729, 16733]",1
23715,[],"[24087, 26562, 27337, 27971, 28613]",1
2258,"[312, 4731, 4978, 7696, 11815, 11888]",[],0
4839,"[791, 1089, 1743, 7639, 9538]",[],0
2713,"[361, 1112, 2540, 2674, 5963, 9582]",[],0
19708,[],"[18577, 25353, 27277, 27628, 27919]",1
17813,[],"[16355, 19512, 19946, 21086, 22062, 24395]",1
16521,[],"[14568, 14640, 14908, 16495, 16871, 17747, 18055]",1
3154,"[452, 495, 816, 2228, 2756, 4215, 5900, 6243, 7660, 7788, 10567, 10936]",[],0
21047,[],"[19966, 24413, 24415, 24792, 27992]",1
7380,"[1667, 4621, 6213, 6509, 7121]",[],0
16088,[],"[14316, 17563, 18582, 18590, 18704, 18848, 19142, 20748, 21492, 21842]",1
20165,[],"[18986, 22385, 24233, 24811, 25499, 26271, 26339]",1
15310,[],"[13594, 14384, 14480, 14716, 14734, 15330]",1
16528,[],"[14580, 18730, 19244, 20174, 20702, 21054, 21364, 23085, 23278, 23414, 24121, 24873, 25187, 25753, 26490, 26508, 27045, 27161]",1
3572,"[529, 804, 2059, 4198, 5718, 6225, 7002, 7197, 7623]",[],0
403,"[33, 9512, 10144, 10812, 11097, 11293, 11625]",[],0
