user_id,seq_d1,seq_d2,domain_id
14757,"[36031, 3894, 26317, 3679, 34619]","[23733, 23753, 10663, 34333, 30995, 36744, 4184, 129, 35155]",1
4373,"[979, 21620]",[],0
12370,"[15397, 21127, 28859]","[28849, 14215, 1476, 8094, 6575, 6994, 15913]",0
41283,[],"[22532, 26656, 30373, 23062, 38592, 28995]",1
30451,[],"[19131, 20519, 35244, 17712, 30982, 18257, 5103, 19476, 11651, 12326, 19524, 37270]",1
1283,"[26711, 5477, 20708, 35063, 13472, 6176, 15158, 25847, 11693, 1853, 34505]","[32310, 10678, 15357, 5477, 17055, 6229, 37084, 26862, 13180, 26194, 4904, 40123]",0
18622,"[31162, 23697, 33381, 20513, 36334, 8729]",[],0
7090,"[11661, 26229, 16374, 25763]",[],0
79551,[],"[35001, 19817, 33805, 32448, 5737, 17557]",1
8328,"[5115, 19608, 28272, 25062, 19708]","[22313, 31308, 4922, 34715, 9378, 23667, 19708, 509]",1
11965,"[20168, 37631, 27080, 2499]","[15843, 3372, 20274, 39950, 7292, 40040, 32576, 4662, 40606, 18112, 4127, 16062]",1
14699,"[11501, 16110]","[1997, 11501, 6539, 20995, 13360]",1
86618,[],"[4391, 34647, 5805, 35581, 22842]",1
25627,[],"[34989, 21181, 7427, 36528]",1
14766,"[2451, 39339]",[],0
8934,"[28336, 17996, 2314, 18576, 2960, 4876, 23648, 6471]","[836, 40041, 4871, 10622, 33584, 35187, 26872]",1
